HR,respr,Time(sec),Label
82.85,10.406548241031,1644228046.0,0
82.43,10.452985771695449,1644228047.0,0
82.12,10.499223999653184,1644228048.0,0
81.95,10.476741721281336,1644228049.0,0
81.72,10.454355521022189,1644228050.0,0
81.5,10.43206478430359,1644228051.0,0
81.25,10.44012894906512,1644228052.0,0
81.03,10.448158871088806,1644228053.0,0
80.85,10.453141585344977,1644228054.0,0
80.7,10.46486855873748,1644228055.0,0
80.68,10.472795465200528,1644228056.0,0
80.6,10.450747474747477,1644228057.0,0
80.5,10.42879212290977,1644228058.0,0
80.55,10.406928827054614,1644228059.0,0
80.53,10.385157009424791,1644228060.0,0
80.53,10.363476097087789,1644228061.0,0
80.62,10.341885521885525,1644228062.0,0
80.7,10.32038472038472,1644228063.0,0
80.77,10.298973133827904,1644228064.0,0
80.87,10.34390279607671,1644228065.0,0
80.9,10.388646798564157,1644228066.0,0
81.02,10.367226908257836,1644228067.0,0
81.22,10.41173878704743,1644228068.0,0
81.4,10.442926181735215,1644228069.0,0
81.52,10.47398575923166,1644228070.0,0
81.65,10.518006238251637,1644228071.0,0
81.78,10.496540919398065,1644228072.0,0
81.93,10.475163035651834,1644228073.0,0
82.1,10.453872053872054,1644228074.0,0
82.25,10.43266744524351,1644228075.0,0
82.43,10.411548685232896,1644228076.0,0
82.67,10.390515253545557,1644228077.0,0
83.0,10.369566634082764,1644228078.0,0
83.32,10.348702314899498,1644228079.0,0
83.75,10.392178816275202,1644228080.0,0
84.1,10.371352806623348,1644228081.0,0
84.48,10.3506101010101,1644228082.0,0
84.82,10.3506101010101,1644228083.0,0
85.13,10.376210101010102,1644228084.0,0
85.42,10.376210101010102,1644228085.0,0
85.73,10.376210101010102,1644228086.0,0
86.03,10.376210101010102,1644228087.0,0
86.35,10.376210101010102,1644228088.0,0
86.63,10.397543434343431,1644228089.0,0
86.88,10.392371717171716,1644228090.0,0
87.22,10.360371717171716,1644228091.0,0
87.58,10.331927272727272,1644228092.0,0
87.68,10.331927272727272,1644228093.0,0
87.75,10.331927272727272,1644228094.0,0
87.82,10.363927272727272,1644228095.0,0
87.82,10.363927272727272,1644228096.0,0
87.82,10.331927272727272,1644228097.0,0
87.9,10.331927272727272,1644228098.0,0
87.7,10.383127272727274,1644228099.0,0
87.5,10.383127272727274,1644228100.0,0
87.3,10.42579393939394,1644228101.0,0
87.23,10.436460606060606,1644228102.0,0
87.18,10.404460606060606,1644228103.0,0
87.17,10.44001616161616,1644228104.0,0
87.1,10.47201616161616,1644228105.0,0
87.0,10.494771717171718,1644228106.0,0
86.95,10.54597171717172,1644228107.0,0
86.8,10.584371717171718,1644228108.0,0
86.58,10.56109898989899,1644228109.0,0
86.33,10.62509898989899,1644228110.0,0
86.13,10.62509898989899,1644228111.0,0
85.92,10.603765656565656,1644228112.0,0
85.77,10.667765656565656,1644228113.0,0
85.58,10.667765656565656,1644228114.0,0
85.35,10.667765656565656,1644228115.0,0
85.13,10.667765656565656,1644228116.0,0
